Subject, speed (m/s), run, startTime (s), dataPtsAfterStomp, label, sensor 8 rms, sensor 7 rms, sensor 6 rms, sensor 5 rms, sensor 4 rms, sensor 3 rms, sensor 2 rms, sensor 16 rms, sensor 1 rms
001, 1.165, 0, 11.5, 1, 0, 0.00011107417684145625, 0.0001889812899846702, 0.00020578568281542158, 0.0002185510533708427, 0.0001679533359678786, 0.00018367723715577016, 0.00021181881766409866, 0.00021763748654820452, 0.00020591208000077707
001, 1.165, 0, 12.5, 1, 0, 0.00012575427552940455, 0.000211590309711742, 0.0002294852782160085, 0.00023601927247966285, 0.00017753601136636036, 0.0001910247712998484, 0.00022623218497404296, 0.00024216395869429682, 0.0002190240006025828
001, 1.165, 0, 13.5, 1, 1, 0.00013549184390653022, 0.0002211474012323871, 0.0007016354528778116, 0.0002554118363219443, 0.00018407762121746508, 0.00019518762683989495, 0.00023516059157401665, 0.00021170860163841879, 0.00021355953087599246
001, 1.165, 0, 14.5, 1, 1, 0.00016374339082700758, 0.0002481129434739369, 0.0011811739571371395, 0.0003028970920220458, 0.00020978939742636864, 0.00022114835933257217, 0.0002681437769680496, 0.0002152293373127479, 0.00020938351506642617
001, 1.165, 0, 15.5, 1, 1, 0.0001580796463861323, 0.00023435590969413204, 0.0010571785660617803, 0.00033847162758505306, 0.00021169386251002943, 0.00022006065385086557, 0.0002739420340677771, 0.00018399519511318155, 0.00020894658946008117
001, 1.165, 0, 16.5, 1, 1, 0.00011855672733432502, 0.00020347704293617648, 0.0005184760505717342, 0.00037367879250649105, 0.00020904072577470983, 0.0002056862008479616, 0.0002606320780629017, 0.00014931508241958297, 0.00021136773340489404
001, 1.165, 0, 17.5, 1, 1, 0.0001178303928987607, 0.000206352049751081, 0.00034380834714992277, 0.0010022251605985672, 0.00023916788360126159, 0.0002096163352359053, 0.00026004553973094855, 0.00016078463902988952, 0.0002220595079690383
001, 1.165, 0, 18.5, 1, 1, 0.00011269805799719293, 0.00019289783525440346, 0.0002812071751716199, 0.0010659890985375113, 0.0002758380309638338, 0.00022924533848303364, 0.000271102689040632, 0.000164588790871059, 0.00022298541742358908
001, 1.165, 0, 19.5, 1, 1, 0.00011643448147901516, 0.00019385616891574644, 0.0003050168967992842, 0.00069943001053584, 0.0003955204489271024, 0.00027260177210827486, 0.00031232986451621526, 0.0001601082786058833, 0.0002228824941988575
001, 1.165, 0, 20.5, 1, 1, 0.00012052948983889454, 0.00018901643631870122, 0.00027959839667762503, 0.000595770904024154, 0.0006596488040256614, 0.0003321073332166107, 0.0003473325278082684, 0.00016158384877973029, 0.00022960557333431245
001, 1.165, 0, 21.5, 1, 1, 0.00011590660115017559, 0.00017695990033880836, 0.00022703354435426703, 0.0003847179419469097, 0.0008042327301135059, 0.0003841222203585445, 0.00037119797671017344, 0.00016856389985713053, 0.00023688962099945146
001, 1.165, 0, 22.5, 1, 1, 0.00011861924394347132, 0.0001794083499392318, 0.00022176222242868373, 0.00036529459139193147, 0.0006538365101770487, 0.0011788060258309686, 0.0006456884340413926, 0.00025750211341929214, 0.0003103716951083888
001, 1.165, 0, 23.5, 1, 1, 0.00012023447877087467, 0.0001819988153252432, 0.00022250848705188573, 0.00031927491005127965, 0.0004255137149279784, 0.0012581035460350982, 0.001056280850681223, 0.00028671646615890814, 0.00036967031608020504
001, 1.165, 0, 24.5, 1, 1, 0.00011737546924594637, 0.00018726654512195656, 0.00024283352566459963, 0.000311195190715197, 0.00038197649830217975, 0.000861888454556046, 0.0016579685971163647, 0.0003413382183971739, 0.0004845729329769118
001, 1.165, 0, 25.5, 1, 1, 0.000119845054893986, 0.00019248319605507524, 0.00024693360157958624, 0.0003154435778582335, 0.0003378402958607425, 0.0007601089992120078, 0.0015329722414968965, 0.00035763930959251957, 0.0008229544936178729
001, 1.165, 0, 26.5, 1, 1, 0.00011889863512928736, 0.00018129133379559943, 0.00020770613272394538, 0.000279023784190836, 0.0002769612599217143, 0.00040172548233192296, 0.0007563331679278843, 0.00025473294435110147, 0.0008524263160448685
001, 1.165, 0, 27.5, 1, 1, 0.0001137897257230646, 0.00017301146982694594, 0.00019637360696282558, 0.00025955400851417326, 0.00024893930095836673, 0.00030495542700977214, 0.0005280667589778702, 0.0002075115888642593, 0.0005493712756804202
001, 1.145, 1, 11.25, 1, 0, 0.00011114852772693678, 0.00015703618195553185, 0.00014461751450516624, 0.0001940509042274773, 0.00014539683350127603, 0.0001681706442695081, 0.000162713983059706, 0.0001434839487348443, 0.0001813915878226034
